opeid,associates,bachelors,firstprofessional,gradprofessional,mastersordoctors,nondegree,nondegree1year,nondegree2years,nondegree3years,private,proprietary,public,hbcuCollege,hispanicCollege,nativeAmericanCollege,notReportedCollege
1141,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1142,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1143,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1144,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1146,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1147,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1149,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1150,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1151,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1154,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1155,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1156,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1157,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1161,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1162,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1163,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1164,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1165,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1166,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1169,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1170,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1171,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1172,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1173,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1174,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1176,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1177,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1178,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1179,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1181,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1182,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1183,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1185,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1186,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1187,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1190,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1191,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1192,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1193,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1196,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1197,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1199,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1200,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1201,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1202,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1203,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1205,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1206,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1207,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1208,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1209,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1212,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1215,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1216,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1217,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1218,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1219,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1220,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1223,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1224,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1227,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1228,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1229,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1230,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1232,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1233,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1236,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1238,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1239,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1242,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1243,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1245,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1246,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1247,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1249,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1250,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1251,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1252,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1253,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1255,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1256,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1258,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1260,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1261,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1262,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1266,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1267,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1269,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1270,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1272,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1273,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1275,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1278,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1279,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1280,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1281,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1282,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1284,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1285,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1286,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1287,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1288,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1289,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1290,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1291,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1292,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1293,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1294,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1295,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1296,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1302,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1305,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1307,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1308,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1312,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1313,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1314,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1315,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1316,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1319,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1320,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1321,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1322,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1325,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1326,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1328,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1329,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1335,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1338,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1339,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1341,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1342,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1343,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1344,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1345,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1346,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1347,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1348,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1349,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1350,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1352,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1353,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1354,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1355,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1358,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1359,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1360,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1361,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1362,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1363,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1365,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1368,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1370,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1371,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1372,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1374,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1378,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1379,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1380,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1385,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1387,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1389,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1392,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1393,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1397,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1398,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1399,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1401,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1402,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1403,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1406,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1409,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1414,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1416,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1417,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1422,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1424,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1425,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1426,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1428,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1429,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1431,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1433,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1434,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1436,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1441,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1443,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1459,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1460,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1464,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1466,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1467,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1468,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1469,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1470,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1471,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1472,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1475,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1477,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1478,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1479,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1480,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1481,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1482,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1484,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1485,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1486,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1487,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1488,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1489,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1490,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1493,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1495,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1499,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1500,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1501,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1502,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
