opeid,stateabv,state,county,city,name,address,zipcode,zipext,proglength,schooltype,year1,num1,denom1,drate1,prate1,ethniccode,congdis,region,averageorgreaterthan30,year2,num2,denom2,drate2,prate2,year3,num3,denom3,drate3,prate3,lat,lng,population,density,military,agemedian,male,female,married,familysize,incomehouseholdmedian,incomehouseholdsixfigure,homeownership,homevalue,rentmedian,educationcollegeorabove,laborforceparticipation,unemploymentrate,racewhite,raceblack,raceasian,racenative,racepacific,raceother,racemultiple
3794,WA,Washington,Thurston,Lacey,SAINT MARTIN'S UNIVERSITY                                        ,5000 ABBEY WAY SE                                 ,98503,7500,8,2,2016,13,460,2.8,A,5,9,10,0,2015,20.0,481.0,4.1,A,2014,19.0,410.0,4.6,A,47.0458,-122.7934,49748.0,1132.0,False,35.1,46.4,53.6,51.4,2.99,64631.0,24.1,54.1,242348.0,1353.0,32.8,62.8,7.1,73.5,5.6,8.3,1.5,1.8,1.6,7.7
3796,WA,Washington,Pierce,Tacoma,TACOMA COMMUNITY COLLEGE                                         ,6501 SOUTH 19TH STREET                            ,98466,6100,6,1,2016,195,1363,14.3,A,5,6,10,0,2015,280.0,1579.0,17.7,A,2014,287.0,1584.0,18.1,A,47.2431,-122.4531,213418.0,1657.0,False,35.9,49.7,50.3,41.2,3.17,55506.0,22.0,50.4,227218.0,1413.0,27.6,63.7,6.7,66.0,9.9,8.8,1.3,1.3,4.3,8.5
3797,WA,Washington,Pierce,Tacoma,UNIVERSITY OF PUGET SOUND                                        ,1500 NORTH WARNER STREET                          ,98416,1,8,2,2016,7,634,1.1,A,5,6,10,0,2015,11.0,588.0,1.8,A,2014,14.0,666.0,2.1,A,47.2431,-122.4531,213418.0,1657.0,False,35.9,49.7,50.3,41.2,3.17,55506.0,22.0,50.4,227218.0,1413.0,27.6,63.7,6.7,66.0,9.9,8.8,1.3,1.3,4.3,8.5
3798,WA,Washington,King,Seattle,UNIVERSITY OF WASHINGTON - SEATTLE                               ,3917 UNIVERSITY WAY NE                            ,98195,1122,8,1,2016,251,8746,2.8,P,5,7,10,0,2015,221.0,8832.0,2.5,P,2014,245.0,8999.0,2.7,P,47.6211,-122.3244,3643765.0,3336.0,False,35.7,50.2,49.8,40.8,2.86,79565.0,40.6,46.5,537711.0,1992.0,61.6,72.9,4.7,68.6,7.1,14.5,0.6,0.4,2.2,6.6
3799,WA,Washington,Walla Walla,College Place,WALLA WALLA UNIVERSITY                                           ,204 SOUTH COLLEGE AVENUE                          ,99324,1198,8,2,2016,21,506,4.1,A,5,5,10,0,2015,12.0,550.0,2.1,A,2014,12.0,517.0,2.3,A,46.0418,-118.3879,9258.0,1199.0,False,35.5,48.2,51.8,45.8,2.82,40236.0,14.9,57.1,177018.0,566.0,33.4,64.8,5.4,85.0,0.8,1.1,0.7,0.2,9.3,3.0
3800,WA,Washington,Whitman,Pullman,WASHINGTON STATE UNIVERSITY                                      ,1 SOUTHEAST STADIUM WAY                           ,99164,1035,8,1,2016,247,6016,4.1,P,5,5,10,0,2015,222.0,5962.0,3.7,P,2014,242.0,6167.0,3.9,P,46.733999999999995,-117.1669,33276.0,1206.0,False,21.9,50.5,49.5,24.9,2.96,30548.0,15.4,28.9,239038.0,1301.0,64.4,58.2,10.5,76.8,2.7,11.5,0.7,0.2,1.7,6.3
3801,WA,Washington,Chelan,Wenatchee,WENATCHEE VALLEY COLLEGE                                         ,1300 FIFTH STREET                                 ,98801,1799,6,1,2016,63,424,14.8,A,5,4,10,0,2015,109.0,559.0,19.4,A,2014,137.0,620.0,22.0,A,47.4338,-120.3286,71512.0,1314.0,False,35.2,47.6,52.4,44.6,3.56,48565.0,19.4,57.1,219614.0,980.0,24.4,61.0,5.1,86.1,0.9,0.7,1.5,0.1,7.2,3.5
3802,WA,Washington,Whatcom,Bellingham,WESTERN WASHINGTON UNIVERSITY                                    ,516 HIGH STREET                                   ,98225,5946,8,1,2016,80,2934,2.7,A,5,2,10,0,2015,69.0,2978.0,2.3,A,2014,75.0,2979.0,2.5,A,48.7543,-122.4687,126015.0,1241.0,False,31.1,49.6,50.4,35.2,2.87,47886.0,18.8,45.3,327966.0,1217.0,43.0,64.3,6.7,82.6,1.5,6.2,1.6,0.2,2.7,5.2
3803,WA,Washington,Walla Walla,Walla Walla,WHITMAN COLLEGE                                                  ,345 BOYER STREET                                  ,99362,2067,6,2,2016,1,205,0.4,A,5,5,10,0,2015,3.0,249.0,1.2,A,2014,0.0,230.0,0.0,A,46.0669,-118.3365,57779.0,938.0,False,35.2,51.4,48.6,39.8,3.08,46650.0,14.6,57.9,178128.0,913.0,25.1,54.7,6.8,82.2,2.2,2.2,1.3,0.1,6.4,5.6
3804,WA,Washington,Spokane,Spokane,WHITWORTH UNIVERSITY                                             ,300 WEST HAWTHORNE ROAD                           ,99251,1,8,2,2016,15,730,2.0,A,5,5,10,0,2015,20.0,750.0,2.6,A,2014,16.0,711.0,2.2,A,47.6671,-117.43299999999999,403043.0,1218.0,False,35.8,48.7,51.3,42.7,2.97,44768.0,16.3,54.7,166710.0,1015.0,29.5,60.3,6.5,85.3,2.3,2.8,1.8,0.8,1.2,5.8
