opeid,stateabv,state,county,city,name,address,zipcode,proglength,schooltype,year1,num1,denom1,drate1,prate1,ethniccode,region,lat,lng,population,density,agemedian,male,female,married,familysize,incomehouseholdmedian,incomehouseholdsixfigure,homeownership,homevalue,rentmedian,educationcollegeorabove,laborforceparticipation,unemploymentrate,racewhite,raceblack,raceasian,racenative,racepacific,raceother,racemultiple
3244,PA,Pennsylvania,Allegheny,Pittsburgh,CHATHAM UNIVERSITY                                               ,WOODLAND ROAD                                     ,15232,8,2,2016,25,692,3.6,A,5,3,40.4396,-79.9763,1715297,2108,32.9,48.9,51.1,31.2,2.9,44092,19,48.1,108716,818,41.9,63,7,66.6,23.6,5.6,0.2,0,0.5,3.4
3245,PA,Pennsylvania,Philadelphia,Philadelphia,CHESTNUT HILL COLLEGE                                            ,9601 GERMANTOWN AVENUE                            ,19118,8,2,2016,68,754,9,A,5,3,40.0077,-75.1339,5637884,4547,34.1,47.3,52.7,29.6,3.58,40649,17,52.2,147636,890,27,59.6,11.3,41.6,42.6,7.1,0.4,0.1,5.6,2.8
3247,PA,Pennsylvania,Luzerne,Dallas,MISERICORDIA  UNIVERSITY                                         ,301 LAKE STREET                                   ,18612,8,2,2016,32,764,4.1,A,5,3,41.3306,-75.9736,2760,459,42.7,50.3,49.7,49,3,81964,39.6,82.7,169764,1170,47.7,69.4,3.3,91.8,0.4,2.2,0,0,0,5.6
3249,PA,Pennsylvania,Philadelphia,Philadelphia,COMMUNITY COLLEGE OF PHILADELPHIA                                ,1700 SPRING GARDEN STREET                         ,19130,5,1,2016,1146,6167,18.5,A,5,3,40.0077,-75.1339,5637884,4547,34.1,47.3,52.7,29.6,3.58,40649,17,52.2,147636,890,27,59.6,11.3,41.6,42.6,7.1,0.4,0.1,5.6,2.8
3251,PA,Pennsylvania,Philadelphia,Philadelphia,CURTIS INSTITUTE OF MUSIC                                        ,1726 LOCUST STREET                                ,19103,8,2,2016,2,46,4.3,B,5,3,40.0077,-75.1339,5637884,4547,34.1,47.3,52.7,29.6,3.58,40649,17,52.2,147636,890,27,59.6,11.3,41.6,42.6,7.1,0.4,0.1,5.6,2.8
3252,PA,Pennsylvania,Bucks,Doylestown,DELAWARE VALLEY UNIVERSITY                                       ,700 EAST BUTLER AVENUE                            ,18901,8,2,2016,46,572,8,A,5,3,40.3139,-75.128,8315,1488,50.4,47.4,52.6,43,2.9,76042,38.7,55.2,400624,1646,47.7,62.1,3.1,93.3,1.8,2.3,0,0.1,1.1,1.3
3253,PA,Pennsylvania,Cumberland,Carlisle,DICKINSON COLLEGE                                                ,COLLEGE AND LOUTHER STREETS                       ,17013,6,2,2016,7,353,1.9,A,5,3,40.1999,-77.2043,19259,1344,32.7,49.3,50.7,38.3,2.88,50550,19.9,45.1,177826,1063,38.7,62.9,6.7,81.6,8.9,2.7,0.1,0,1.3,5.4
3256,PA,Pennsylvania,Philadelphia,Philadelphia,DREXEL UNIVERSITY                                                ,3141 CHESTNUT STREET                              ,19104,8,2,2016,184,5892,3.1,P,5,3,40.0077,-75.1339,5637884,4547,34.1,47.3,52.7,29.6,3.58,40649,17,52.2,147636,890,27,59.6,11.3,41.6,42.6,7.1,0.4,0.1,5.6,2.8
3258,PA,Pennsylvania,Allegheny,Pittsburgh,DUQUESNE UNIVERSITY OF THE HOLY SPIRIT                           ,600 FORBES AVENUE                                 ,15282,8,2,2016,58,2017,2.8,P,5,3,40.4396,-79.9763,1715297,2108,32.9,48.9,51.1,31.2,2.9,44092,19,48.1,108716,818,41.9,63,7,66.6,23.6,5.6,0.2,0,0.5,3.4
3259,PA,Pennsylvania,Chester,Wayne,EASTERN UNIVERSITY                                               ,1300 EAGLE ROAD                                   ,19087,8,2,2016,88,1245,7,P,5,3,40.06116,-75.39987,32934,779.5,41.2,48.2,51.8,56.4,3.17,137943,63,76.9,558460,1510,76.7,66.1,3.9,82.7,4.8,9.5,0,0,1,2
3262,PA,Pennsylvania,Lancaster,Elizabethtown,ELIZABETHTOWN COLLEGE                                            ,1 ALPHA DRIVE                                     ,17022,8,2,2016,22,621,3.5,A,5,3,40.1534,-76.5991,11586,1688,33.7,47.2,52.8,41.2,2.84,58775,20.3,53.3,165814,1192,25.5,64.1,4.1,92,3.6,3.3,0.1,0,0.2,0.8
