OPEID,Name,Address,City,State,StateDesc,ZipCode,ZipExt,ProgLength,SchoolType,Year1,Num1,Denom1,DRate1,PRate1,EthnicCode,CongDis,Region,AverageorGreaterthan30,Year2,Num2,Denom2,DRate2,PRate2,Year3,Num3,Denom3,DRate3,PRate3
2102,UNIVERSITY OF BALTIMORE                                          ,1420 NORTH CHARLES STREET                         ,BALTIMORE           ,MD,MARYLAND                                                    ,21201,5779,8,Public,2016,130,1814,7.1,P,5,7,3,0,2015,158.0,1918.0,8.2,P,2014,131.0,1873.0,6.9,P
2103,"UNIVERSITY OF MARYLAND, COLLEGE PARK                             ",0102 LEE BUILDING                  OFFICE OF STUDE,COLLEGE PARK        ,MD,MARYLAND                                                    ,20742,5145,8,Public,2016,113,4903,2.3,P,5,5,3,0,2015,109.0,5054.0,2.1,P,2014,126.0,5199.0,2.4,P
2104,"UNIVERSITY OF MARYLAND, BALTIMORE                                ",220 N. ARCH STREET                 14H FLOOR      ,BALTIMORE           ,MD,MARYLAND                                                    ,21201,1691,8,Public,2016,17,1570,1.0,P,5,7,3,0,2015,23.0,1564.0,1.4,P,2014,25.0,1650.0,1.5,P
2105,UNIVERSITY OF MARYLAND - BALTIMORE COUNTY                        ,1000 HILLTOP CIRCLE                               ,BALTIMORE           ,MD,MARYLAND                                                    ,21250,2,8,Public,2016,98,2323,4.2,A,5,7,3,0,2015,96.0,2375.0,4.0,A,2014,118.0,2364.0,4.9,A
2106,UNIVERSITY OF MARYLAND - EASTERN SHORE                           ,1 COLLEGE BACKBONE ROAD                           ,PRINCESS ANNE       ,MD,MARYLAND                                                    ,21853,1299,8,Public,2016,152,1142,13.3,A,2,1,3,0,2015,159.0,1214.0,13.0,A,2014,194.0,1295.0,14.9,A
2107,STEVENSON UNIVERSITY                                             ,1525 GREENSPRING VALLEY ROAD                      ,STEVENSON           ,MD,MARYLAND                                                    ,21153,641,8,Private,2016,73,1143,6.3,A,5,3,3,0,2015,83.0,1146.0,7.2,A,2014,68.0,1052.0,6.4,A
2108,WASHINGTON COLLEGE                                               ,300 WASHINGTON AVENUE                             ,CHESTERTOWN         ,MD,MARYLAND                                                    ,21620,1197,6,Private,2016,13,319,4.0,A,5,1,3,0,2015,10.0,344.0,2.9,A,2014,14.0,302.0,4.6,A
2109,MCDANIEL COLLEGE                                                 ,2 COLLEGE HILL                                    ,WESTMINSTER         ,MD,MARYLAND                                                    ,21157,4390,8,Private,2016,23,496,4.6,A,5,6,3,0,2015,20.0,516.0,3.8,A,2014,13.0,533.0,2.4,A
2114,AMERICAN INTERNATIONAL COLLEGE                                   ,1000 STATE STREET                                 ,SPRINGFIELD         ,MA,MASSACHUSETTS                                               ,1109,3189,8,Private,2016,90,1226,7.3,A,5,2,1,0,2015,61.0,1047.0,5.8,A,2014,76.0,1211.0,6.2,A
2115,AMHERST COLLEGE                                                  ,BOLTWOOD AVENUE AT COLLEGE STREET                 ,AMHERST             ,MA,MASSACHUSETTS                                               ,1002,5000,6,Private,2016,2,134,1.4,A,5,1,1,0,2015,5.0,151.0,3.3,A,2014,2.0,155.0,1.2,A
2117,ANNA MARIA COLLEGE                                               ,50 SUNSET LANE                                    ,PAXTON              ,MA,MASSACHUSETTS                                               ,1612,1198,8,Private,2016,36,487,7.3,A,5,3,1,0,2015,37.0,498.0,7.4,A,2014,42.0,497.0,8.4,A
2118,ASSUMPTION COLLEGE                                               ,500 SALISBURY STREET                              ,WORCESTER           ,MA,MASSACHUSETTS                                               ,1615,1294,8,Private,2016,34,760,4.4,A,5,3,1,0,2015,24.0,696.0,3.4,A,2014,17.0,668.0,2.5,A
2120,MERRIMACK COLLEGE                                                ,315 TURNPIKE STREET                               ,NORTH ANDOVER       ,MA,MASSACHUSETTS                                               ,1845,5800,8,Private,2016,26,694,3.7,A,5,6,1,0,2015,12.0,608.0,1.9,A,2014,18.0,599.0,3.0,A
2121,BABSON COLLEGE                                                   ,231 FOREST STREET                                 ,BABSON PARK         ,MA,MASSACHUSETTS                                               ,2457,310,8,Private,2016,8,417,1.9,A,5,4,1,0,2015,5.0,493.0,1.0,A,2014,9.0,537.0,1.6,A
