opeid,agemedian,cdr2014_log,cdr2015_log,cdr2016_log,cohort2014_log,cohort2015_log,cohort2016_log,density_log,educationcollegeorabove,familysize_log,female_sqrt,homeownership,homevalue_log,incomehouseholdmedian_log,incomehouseholdsixfigure_log,laborforceparticipation_sqrt,male_reciprocal,married,population_log,proglength,raceasian_log,raceblack_log,racemultiple_log,racenative_reciprocal,raceother_log,racepacific,racewhite,rentmedian_log,unemploymentrate_log
41123,0.22417154,0.480854937,0.442289713,0.585744934,0.3924402,0.392172231,0.334165662,0.644863579,0.32112069,0.527102233,0.426319728,0.465897167,0.40098806,0.383760204,0.664947185,0.450108017,0.533193681,0.365229111,0.689961994,0.4,0.354896584,0.8763866,0.227508995,0.765279241,0.210186422,0,0.37854251,0.387687956,0.612969383
41143,0.440545809,0.501078014,0.545532118,0.534290757,0.544770693,0.55543442,0.526449186,0.656865263,0.314655172,0.449227209,0.455522673,0.606505771,0.520380162,0.551168538,0.774921722,0.465661613,0.497877213,0.637466307,0.631785294,0.7,0.510982127,0.404506752,0.455533854,0.709393346,0.416042577,0.015267176,0.769230769,0.55848551,0.562595534
41145,0.362573099,0.639135711,0.651268497,0.683309522,0.351047188,0.333642904,0.308383214,0.728599621,0.292025862,0.570043041,0.466114941,0.483735572,0.702176628,0.557934794,0.789534757,0.365046134,0.485219776,0.57277628,0.478809036,0.4,0.638899797,0.404506752,0.434099345,0.765279241,0.820239047,0.003816794,0.503036437,0.596768942,0.52029019
41153,0.522417154,0.686804509,0.69041591,0.735733438,0.299185781,0.339900579,0.293734631,0.5515245,0.346982759,0.418498511,0.444740646,0.695697796,0.608480491,0.594997619,0.83067507,0.558833655,0.510847823,0.725067385,0.455469486,0.2,0.354896584,0.246544356,0.410838503,0.907534247,0.633302812,0,0.791497976,0.657320068,0.565836498
41156,0.34502924,0.447845891,0.5347855,0.444227888,0.468636596,0.499107495,0.463278751,0.636573999,0.174568966,0.628544456,0.511673766,0.582371459,0.478618131,0.403443961,0.656589626,0.504839157,0.431848392,0.547169811,0.480173724,0.4,0.408803901,0.317847473,0.349886877,0.581184529,0.639383882,0.003816794,0.766194332,0.524693347,0.587485703
41166,0.539961014,0.353022317,0.478486836,0.283349204,0.416648132,0.421964458,0.355182118,0.563065538,0.167025862,0.472531912,0.426319728,0.546694648,0.263069962,0.335215896,0.60484971,0.510054439,0.533193681,0.444743935,0.267846618,0.4,0.183362057,0.375408865,0.422716454,0.250540735,0,0,0.876518219,0.27405617,0.584498228
41173,0.263157895,0.63104542,0.582400283,0.68596124,0.467717437,0.484939021,0.423286344,0.641570374,0.16487069,0.41502911,0.448356373,0.453305352,0.189887745,0.279241121,0.486815308,0.538009772,0.506488774,0.335579515,0.708332197,0.2,0.149268248,0.805473655,0.404700046,0.765279241,0.118606434,0,0.548582996,0.325763737,0.703704611
41174,0.228070175,0.659684276,0.543777623,0.575469464,0.457575156,0.473972372,0.413601014,0.745766993,0.229525862,0.511338922,0.437442024,0.390346275,0.321278899,0.360890754,0.578918173,0.428199082,0.519674669,0.358490566,0.766023341,0.4,0.374287643,0.803299966,0.434099345,0.660958904,0.518362575,0,0.451417004,0.48367177,0.615656605
41176,0.282651072,0.806233009,0.851944303,0.941806489,0.331477218,0.323290367,0.271078981,0.822508211,0.376077586,0.548787971,0.444740646,0.418677859,0.49043919,0.468388703,0.738307587,0.406943013,0.510847823,0.425876011,0.928952332,0.2,0.459088312,0.751788379,0.349886877,0.765279241,0.631242783,0,0.484817814,0.616543646,0.638698475
41177,0.235867446,0.620179012,0.615168868,0.648937329,0.396874307,0.407024434,0.315513635,0.738513956,0.231681034,0.475820116,0.448356373,0.333683106,0.232839669,0.303447847,0.539601396,0.468446024,0.506488774,0.270889488,0.707568067,0.2,0.339212575,0.812915223,0.465651672,0.491438356,0.395843626,0,0.45951417,0.394202411,0.685806582
41179,0.259259259,0.430730756,0.498921986,0.421242877,0.347222578,0.295244996,0.313195771,0.683503783,0.314655172,0.539547832,0.473075847,0.405036726,0.380987094,0.447670101,0.716097142,0.386420617,0.476949914,0.513477089,0.887726442,0.2,0.474702093,0.69162132,0.300085773,0.765279241,0.593374642,0.003816794,0.579959514,0.484404345,0.542278705
41183,0.072124756,0.644734965,0.644734965,0.617686718,0.416078236,0.410362417,0.356678648,0.67094318,0.42887931,0.393973163,0.437442024,0.339979014,0.369763914,0.360080248,0.607890719,0.395992224,0.519674669,0.288409704,0.426904848,0.2,0.4558357,0.522526466,0.460639607,0.907534247,0.133905189,0,0.784412955,0.474020589,0.628701936
41186,0.378167641,0.61004013,0.25203043,0.57963319,0.305868497,0.319536862,0.241272828,0.607289768,0.221982759,0.361591584,0.446551265,0.651626443,0.352864129,0.469166423,0.666116181,0.408489191,0.508663814,0.605121294,0.502833107,0.2,0.213090729,0.232011608,0.36465533,0.907534247,0.187229497,0,0.925101215,0.449591232,0.516442983
41187,0.352826511,0.639135711,0.603453633,0.5877477,0.437187303,0.423658962,0.290810471,0.624268195,0.329741379,0.418498511,0.486768128,0.611752361,0.411123023,0.519354535,0.733173571,0.538009772,0.460800125,0.54851752,0.40851231,0.5,0.270500012,0.463763953,0.36465533,0.618578767,0.133905189,0.003816794,0.860323887,0.364486233,0.450903055
41188,0.38791423,0.532941411,0.447845891,0.244355769,0.458268018,0.477591782,0.443155855,0.74319955,0.407327586,0.462606251,0.433758284,0.380902413,0.731298693,0.56207982,0.798127303,0.391228443,0.524143375,0.58490566,0.537942198,0.7,0.591069846,0.290910699,0.489418815,0.660958904,0.586059574,0,0.703441296,0.76769949,0.5722029
41190,0.395711501,0.746851113,0.705961313,0.725911638,0.396874307,0.409705293,0.344834164,0.519330369,0.081896552,0.274093091,0.467862562,0.436516264,0.257130597,0.298302006,0.465108732,0.487584819,0.483139856,0.65902965,0.211009936,0.4,0.516093498,0.555550774,0.128381417,1,0.102319999,0,0.786437247,0.246724077,0.3569476
41191,0.304093567,0,0,0.493506171,0.236543231,0.300213486,0.279803241,0.584375189,0.334051724,0.435678807,0.448356373,0.517313746,0.361059267,0.452714413,0.685112722,0.375023971,0.506488774,0.486522911,0.780122009,0.7,0.310465162,0.738966418,0.398420463,0.709393346,0.42556643,0.003816794,0.598178138,0.467195906,0.516442983
41192,0.304093567,0.63104542,0.398808574,0.372273815,0.387757325,0.382732568,0.308383214,0.7832787,0.329741379,0.590884217,0.462604654,0.33683106,0.692882718,0.481149422,0.749850182,0.408489191,0.489404828,0.473045822,0.963493383,0.4,0.591069846,0.499567307,0.410838503,0.581184529,0.800935107,0.007633588,0.516194332,0.746461354,0.590440167
41194,0.352826511,0.613898019,0.660713632,0.612353318,0.512073611,0.512417678,0.463278751,0.661481215,0.38362069,0.517672133,0.448356373,0.683105981,0.49539946,0.536778653,0.787504386,0.395992224,0.506488774,0.54851752,0.538207856,0.2,0.438853121,0.50607258,0.385410869,0.765279241,0.487423614,0.011450382,0.752024291,0.601401534,0.531510421
41203,0.300194932,0.599403439,0.603453633,0.697540429,0.390908242,0.446113568,0.426899999,0.627784379,0.376077586,0.418498511,0.409219,0.4795383,0.387658002,0.415734536,0.652910559,0.44144546,0.55412494,0.478436658,0.640965136,0.3,0.392185548,0.818588952,0.342192007,0.709393346,0.330160622,0.003816794,0.473684211,0.464123852,0.538737246
41204,0.397660819,0.515597832,0.523477939,0.536775872,0.377521333,0.387154519,0.297958779,0.831206464,0.256465517,0.570043041,0.460841902,0.267576076,0.523846416,0.320414156,0.623919135,0.473976262,0.491510061,0.420485175,0.901761651,0.2,0.149268248,0.646164023,0.271306565,0.765279241,0.368084662,0,0.751012146,0.530587352,0.590440167
41209,0.532163743,0.70175382,0.61768842,0.728129657,0.390131591,0.387154519,0.296571489,0.568768814,0.578663793,0.328199673,0.455522673,0.643231899,0.636324306,0.613183002,0.842694159,0.462864099,0.497877213,0.641509434,0.61487764,0.2,0.387838543,0.216439952,0.326119733,0.518204758,0.301288922,0.003816794,0.882591093,0.611297486,0.435620252
41210,0.282651072,0.750274234,0.700047677,0.697540429,0.336074124,0.447810911,0.39116472,0.634564636,0.293103448,0.504968014,0.441102669,0.511017838,0.335611366,0.413691263,0.647909659,0.395992224,0.515242971,0.469002695,0.777286265,0.2,0.322393828,0.734519112,0.378666085,0.765279241,0.395843626,0,0.613360324,0.437808702,0.590440167
41211,0.292397661,0.527313067,0.557431214,0.715665746,0.425274056,0.40066193,0.336029009,0.728322068,0.61637931,0.339446461,0.501826345,0.651626443,0.474416997,0.620397281,0.835120277,0.209541102,0.443227876,0.52425876,0.410661039,0.2,0.304263248,0.3277542,0.357370903,1,0.066208191,0,0.905870445,0.510925079,0.39614589
41212,0.458089669,0,0,0,0.261780474,0.26476104,0.18933604,0.646704498,0.740301724,0.393973163,0.435603068,0.691500525,0.662983109,0.669643186,0.874860853,0.346209402,0.521904367,0.73180593,0.396112276,0.7,0.435302548,0.039729775,0.326119733,0.830479452,0.102319999,0,0.91194332,0.642981949,0.435620252
41218,0.251461988,0.483197436,0.498921986,0.593656544,0.301473304,0.295244996,0.287793466,0.693321466,0.313577586,0.533343122,0.464362319,0.386149003,0.393143224,0.43277231,0.696601732,0.376667795,0.487308083,0.491913747,0.892270302,0.7,0.344558971,0.704026077,0.349886877,0.765279241,0.545919253,0,0.613360324,0.501584553,0.516442983
