proprietary,opeid,agemedian,cdr2014_log,cdr2015_log,cdr2016_log,cohort2014_log,cohort2015_log,cohort2016_log,density_log,educationcollegeorabove,familysize_log,female_sqrt,homeownership,homevalue_log,incomehouseholdmedian_log,incomehouseholdsixfigure_log,laborforceparticipation_sqrt,male_reciprocal,married,population_log,proglength,raceasian_log,raceblack_log,racemultiple_log,racenative_reciprocal,raceother_log,racepacific,racewhite,rentmedian_log,unemploymentrate_log,associates,bachelors,firstprofessional,gradprofessional,mastersordoctors,nondegree,nondegree1year,nondegree2years,nondegree3years,private,public,hbcuCollege,hispanicCollege,nativeAmericanCollege,notReportedCollege
0,41937,0.269005848,0.0,0.377122584,0.187121669,0.291921255,0.315608713,0.309609395,0.697161733,0.220905172,0.614216137,0.469605226,0.473242392,0.615110278,0.507207277,0.74332708,0.416154287,0.481068273,0.578167116,0.570818909,0.7,0.483590741,0.272990157,0.439617711,0.518204758,0.6185164479999999,0.011450382,0.743927126,0.690795568,0.531510421,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,39143,0.358674464,0.335324398,0.6047870470000001,0.689884078,0.41015452,0.411014466,0.336947158,0.596569734,0.172413793,0.408056385,0.420676784,0.577124869,0.23575393600000005,0.353753007,0.566560411,0.507452141,0.540082075,0.431266846,0.514513734,0.3,0.09429415,0.719805535,0.445026796,0.907534247,0.066208191,0.0,0.684210526,0.344559514,0.70941393,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,39703,0.257309942,0.565547483,0.603453633,0.636276925,0.373810083,0.344307142,0.32834582100000004,0.663079402,0.165948276,0.58497089,0.4392752070000001,0.55613851,0.328443951,0.466240772,0.676372546,0.356574614,0.517454223,0.557951482,0.566018209,0.2,0.310465162,0.709973321,0.391993111,0.618578767,0.37955719,0.0,0.644736842,0.494161397,0.535148249,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,34335,0.323586745,0.6913094340000001,0.6965945509999999,0.7695524509999999,0.286701469,0.385413427,0.308383214,0.924795048,0.368534483,0.539547832,0.430051004,0.292759706,0.6880444490000001,0.501061572,0.768356325,0.450108017,0.528649554,0.485175202,1.0,0.1,0.629778707,0.7040260770000001,0.398420463,0.7093933459999999,0.701241065,0.003816794,0.421052632,0.679437187,0.581476995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,12652,0.559454191,0.629864605,0.618937294,0.689884078,0.5258953789999999,0.525768574,0.475937701,0.6601663720000001,0.438577586,0.27012162300000003,0.460841902,0.646379853,0.355412213,0.488934552,0.684038585,0.448673282,0.491510061,0.498652291,0.197800225,0.2,0.061014906,0.199669336,0.290825569,1.0,0.0,0.0,0.963562753,0.491295846,0.363892829,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,1857,0.360623782,0.650193165,0.6226413000000001,0.7225452509999999,0.51918708,0.5164257520000001,0.475087336,0.581216531,0.125,0.368872629,0.413064334,0.611752361,0.248223083,0.394002649,0.598641557,0.410030934,0.549403977,0.541778976,0.305835047,0.4,0.14926824800000002,0.232011608,0.160553834,0.7093933459999999,0.066208191,0.007633588,0.955465587,0.308897067,0.39614589,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,3948,0.364522417,0.325902085,0.335324398,0.413058401,0.441934748,0.441261896,0.394712832,0.875858677,0.574353448,0.43908202,0.488458901,0.34207765,0.8173616229999999,0.674924248,0.8794255390000001,0.34094103600000003,0.458817026,0.489218329,0.851158201,0.7,0.828149713,0.40107502,0.493933792,0.7093933459999999,0.540050334,0.015267176,0.465587045,0.8068250779999999,0.496330025,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,3988,0.440545809,0.509493793,0.515597832,0.564728884,0.566430126,0.575974115,0.544723624,0.633226929,0.315732759,0.43908202,0.416883418,0.8604407140000001,0.487692683,0.63253267,0.831235547,0.4022774670000001,0.5447231929999999,0.605121294,0.39599905,0.7,0.291340036,0.458512845,0.250284668,0.7093933459999999,0.102319999,0.0,0.87854251,0.47439625,0.4834935,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,6578,0.38791423,0.277551548,0.245151152,0.283349204,0.362661629,0.32510635,0.25078352800000003,0.6797809909999999,0.17349137899999995,0.331961749,0.403400577,0.5162644279999999,0.184971776,0.304981803,0.513607386,0.51393813,0.561282859,0.424528302,0.354857042,0.2,0.263116599,0.5750782010000001,0.391993111,1.0,0.285511775,0.0,0.7935222670000001,0.294856557,0.657635681,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3249,0.282651072,0.642512596,0.642512596,0.70495748,0.729229586,0.741137465,0.724905017,0.820852265,0.264008621,0.576039188,0.422563984,0.498426023,0.380361454,0.381263878,0.650424,0.503528616,0.537776235,0.35175202200000005,0.890784928,0.4,0.486479698,0.822624446,0.36465533,0.7093933459999999,0.476206115,0.003816794,0.408906883,0.415307245,0.67100728,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,31042,0.278752437,0.31605134,0.325902085,0.346167709,0.456524961,0.41787314,0.371114879,0.6532523720000001,0.434267241,0.488872832,0.433758284,0.507869885,0.436467801,0.503528494,0.748237047,0.311780419,0.524143375,0.525606469,0.771599248,0.4,0.4590883120000001,0.780886266,0.37175053,0.7652792409999999,0.472353336,0.003816794,0.493927126,0.5347892710000001,0.565836498,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
